segment,distance_A_minus1,q1,q2,q3,f1_cm_minus1,f2_cm_minus1,f3_cm_minus1
0.000000000000000000e+00,1.579851588670743434e-01,3.125000000000000000e-01,0.000000000000000000e+00,3.125000000000000000e-01,1.768805215892048182e+02,1.768805215892048750e+02,2.754588077805756257e+02
0.000000000000000000e+00,1.643045652217573205e-01,3.250000000000000111e-01,0.000000000000000000e+00,3.250000000000000111e-01,1.810690455634090199e+02,1.810690455634090483e+02,2.822701750119533699e+02
0.000000000000000000e+00,1.706239715764402975e-01,3.375000000000000222e-01,0.000000000000000000e+00,3.375000000000000222e-01,1.849753393262419934e+02,1.849753393262420502e+02,2.886445543781569540e+02
0.000000000000000000e+00,1.769433779311232746e-01,3.500000000000000333e-01,0.000000000000000000e+00,3.500000000000000333e-01,1.885971746853123250e+02,1.885971746853124102e+02,2.945745394748537933e+02
0.000000000000000000e+00,1.832627842858062517e-01,3.625000000000000444e-01,0.000000000000000000e+00,3.625000000000000444e-01,1.919327639847215607e+02,1.919327639847216744e+02,3.000534029764577895e+02
0.000000000000000000e+00,1.895821906404892010e-01,3.750000000000000000e-01,0.000000000000000000e+00,3.750000000000000000e-01,1.949807085543647247e+02,1.949807085543648100e+02,3.050750730528205850e+02
0.000000000000000000e+00,1.959015969951721781e-01,3.875000000000000111e-01,0.000000000000000000e+00,3.875000000000000111e-01,1.977399468392895301e+02,1.977399468392896438e+02,3.096341092220339419e+02
0.000000000000000000e+00,2.022210033498551551e-01,4.000000000000000222e-01,0.000000000000000000e+00,4.000000000000000222e-01,2.002097031182503599e+02,2.002097031182504168e+02,3.137256781628981912e+02
0.000000000000000000e+00,2.085404097045381322e-01,4.125000000000000333e-01,0.000000000000000000e+00,4.125000000000000333e-01,2.023894377209614674e+02,2.023894377209615243e+02,3.173455300013671376e+02
0.000000000000000000e+00,2.148598160592211093e-01,4.250000000000000444e-01,0.000000000000000000e+00,4.250000000000000444e-01,2.042787996372175030e+02,2.042787996372175030e+02,3.204899755676269706e+02
0.000000000000000000e+00,2.211792224139040586e-01,4.375000000000000000e-01,0.000000000000000000e+00,4.375000000000000000e-01,2.058775823775248455e+02,2.058775823775248455e+02,3.231558650945660816e+02
0.000000000000000000e+00,2.274986287685870356e-01,4.500000000000000111e-01,0.000000000000000000e+00,4.500000000000000111e-01,2.071856838941364174e+02,2.071856838941365311e+02,3.253405687945391946e+02
0.000000000000000000e+00,2.338180351232700127e-01,4.625000000000000222e-01,0.000000000000000000e+00,4.625000000000000222e-01,2.082030713038234353e+02,2.082030713038235206e+02,3.270419597099811995e+02
0.000000000000000000e+00,2.401374414779529898e-01,4.750000000000000333e-01,0.000000000000000000e+00,4.750000000000000333e-01,2.089297510702791953e+02,2.089297510702792806e+02,3.282583991852158647e+02
0.000000000000000000e+00,2.464568478326359668e-01,4.875000000000000444e-01,0.000000000000000000e+00,4.875000000000000444e-01,2.093657452061447373e+02,2.093657452061448510e+02,3.289887252525013537e+02
0.000000000000000000e+00,2.527762541873189162e-01,5.000000000000000000e-01,0.000000000000000000e+00,5.000000000000000000e-01,2.095110739441548446e+02,2.095110739441550720e+02,3.292322441658498064e+02
1.000000000000000000e+00,2.527762541873189162e-01,5.000000000000000000e-01,0.000000000000000000e+00,5.000000000000000000e-01,2.095110739441548446e+02,2.095110739441550720e+02,3.292322441658498064e+02
1.000000000000000000e+00,2.559359573646604047e-01,5.000000000000000000e-01,6.250000000000000347e-03,5.062499999999999778e-01,2.095151263626895002e+02,2.095744530304423847e+02,3.291970617727124591e+02
1.000000000000000000e+00,2.590956605420018932e-01,5.000000000000000000e-01,1.250000000000000069e-02,5.124999999999999556e-01,2.095272581652135102e+02,2.097643590554390300e+02,3.290915343666159174e+02
1.000000000000000000e+00,2.622553637193433818e-01,5.000000000000000000e-01,1.875000000000000278e-02,5.187500000000000444e-01,2.095473931612222032e+02,2.100801007008755619e+02,3.289157213391999903e+02
1.000000000000000000e+00,2.654150668966848703e-01,5.000000000000000000e-01,2.500000000000000139e-02,5.250000000000000222e-01,2.095754049276384023e+02,2.105205336552243978e+02,3.286697219153830929e+02
1.000000000000000000e+00,2.685747700740263588e-01,5.000000000000000000e-01,3.125000000000000000e-02,5.312500000000000000e-01,2.096111176457648071e+02,2.110840722388459483e+02,3.283536755112201035e+02
1.000000000000000000e+00,2.717344732513678474e-01,5.000000000000000000e-01,3.750000000000000555e-02,5.374999999999999778e-01,2.096543072636867180e+02,2.117687052821189582e+02,3.279677622340591370e+02
1.000000000000000000e+00,2.748941764287093359e-01,5.000000000000000000e-01,4.375000000000000416e-02,5.437499999999999556e-01,2.097047029749318767e+02,2.125720158807465907e+02,3.275122035241635103e+02
1.000000000000000000e+00,2.780538796060508244e-01,5.000000000000000000e-01,5.000000000000000278e-02,5.500000000000000444e-01,2.097619890017654143e+02,2.134912045737530093e+02,3.269872629367236527e+02
1.000000000000000000e+00,2.812135827833923130e-01,5.000000000000000000e-01,5.625000000000000139e-02,5.562500000000000222e-01,2.098258066692012278e+02,2.145231154297964338e+02,3.263932470629637237e+02
