k_index,distance_inv_angstrom,band,QE_eV,Wannier_eV,error_eV
84,3.3048698,2,4.042656711697361,3.8646427,-0.17801401169736053
84,3.3048698,3,17.854968432214648,19.224095,1.3691265677853508
84,3.3048698,4,18.085689722600524,19.273446,1.187756277399476
85,3.3449789,1,3.731443663963196,3.6113586,-0.12008506396319607
85,3.3449789,2,3.98929318528066,3.860952,-0.12834118528065996
85,3.3449789,3,18.357568904159734,19.526713,1.1691440958402666
85,3.3449789,4,18.52280364919489,19.561405,1.0386013508051093
86,3.385088,1,3.6934982021876652,3.6212858,-0.07221240218766534
86,3.385088,2,3.9477324190547893,3.8644745,-0.0832579190547893
86,3.385088,3,18.844831325115067,19.759261,0.9144296748849321
86,3.385088,4,18.947592711232144,19.797736,0.8501432887678568
87,3.4251971,1,3.6663914651977345,3.6304973,-0.03589416519773447
87,3.4251971,2,3.9180118312402463,3.8728694,-0.04514243124024642
87,3.4251971,3,19.305532292440706,19.927086,0.6215537075592934
87,3.4251971,4,19.35439277499467,19.969268,0.6148752250053313
88,3.4653063,1,3.6501293055179733,3.6383089,-0.011820405517973143
88,3.4653063,2,3.9002137137251642,3.8835928,-0.016620913725164055
88,3.4653063,3,19.724563950451643,20.032107,0.3075430495483573
88,3.4653063,4,19.7361597812645,20.068489,0.3323292187354987
89,3.5054154,1,3.644708340843676,3.6447083,-4.084367599688221e-08
89,3.5054154,2,3.894370156054905,3.8943702,4.394509511840283e-08
89,3.5054154,3,20.068448965631127,20.073498,0.005049034368873606
89,3.5054154,4,20.068448965631237,20.093036,0.024587034368764193
90,3.5447141,1,3.370812839870646,3.5235648,0.1527519601293541
90,3.5447141,2,4.17793321888579,3.9716283,-0.20630491888578995
90,3.5447141,3,19.975745403329952,19.982171,0.006425596670048606
90,3.5447141,4,19.975745403330073,20.209384,0.2336385966699268
91,3.5840129,1,3.011393515285988,3.3328709,0.321477384714012
91,3.5840129,2,4.566437608185194,4.1192689,-0.4471687081851945
91,3.5840129,3,19.87664057837948,19.899376,0.02273542162052067
91,3.5840129,4,19.876640578379554,20.35018,0.4735394216204476
92,3.6233116,1,2.6553894121391677,3.1239102,0.4685207878608324
92,3.6233116,2,4.9707921190603885,4.2897783,-0.6810138190603885
92,3.6233116,3,19.786612197834177,19.832913,0.046300802165823995
92,3.6233116,4,19.786612197834177,20.505329,0.7187168021658223
93,3.6626104,1,2.3077329612523227,2.9001307,0.5923977387476773
93,3.6626104,2,5.386319219157971,4.4847542,-0.9015650191579709
93,3.6626104,3,19.70609343808213,19.780431,0.07433756191786856
93,3.6626104,4,19.70609343808213,20.674064,0.9679705619178698
94,3.7019091,1,1.9694434053181307,2.6602391,0.6907956946818694
94,3.7019091,2,5.8118713713841545,4.7114854,-1.1003859713841546
94,3.7019091,3,19.635094839359212,19.739192,0.10409716064078722
94,3.7019091,4,19.63509483935926,20.855411,1.2203161606407384
95,3.7412079,1,1.6409984089052818,2.4028643,0.7618658910947183
95,3.7412079,2,6.247000273476338,4.9779113,-1.2690889734763386
95,3.7412079,3,19.573625207459557,19.706391,0.13276579254044307
95,3.7412079,4,19.57362520745959,21.048108,1.4744827925404103
96,3.7805066,1,1.3225034681221346,2.1273557,0.8048522318778653
96,3.7805066,2,6.691533114075602,5.2914251,-1.4001080140756024
96,3.7805066,3,19.521665456160093,19.679421,0.15775554383990809
96,3.7805066,4,19.521665456160157,21.250596,1.7289305438398443
97,3.8198054,1,1.0141766949731783,1.8339287,0.8197520050268217
97,3.8198054,2,7.1452813795170576,5.6583417,-1.4869396795170573
97,3.8198054,3,19.479204219746894,19.656086,0.17688178025310464
97,3.8198054,4,19.479204219746936,21.461001,1.9817967802530632
98,3.8591041,1,0.7161390525530469,1.5236404,0.807501347446953
98,3.8591041,2,7.608049800563541,6.0835686,-1.5244812005635406
98,3.8591041,3,19.44620894321711,19.634756,0.18854705678289108
98,3.8591041,4,19.446208943217144,21.677152,2.2309430567828556
99,3.8984029,1,0.42849962946386416,1.1983144,0.7698147705361358
99,3.8984029,2,8.079849010691808,6.570379,-1.5094700106918078
99,3.8984029,3,19.422684502448952,19.614451,0.1917664975510469
99,3.8984029,4,19.422684502449037,21.896598,2.4739134975509636
100,3.9377016,1,0.151352640958309,0.86045374,0.7091010990416909
100,3.9377016,2,8.560498695752228,7.1202591,-1.440239595752228
100,3.9377016,3,19.408595486981245,19.594861,0.18626551301875693
100,3.9377016,4,19.408595486981245,22.11665,2.708054513018755
101,3.9770004,1,-0.11520614016463526,0.51315268,0.6283588201646353
101,3.9770004,2,9.049893898729321,7.732821,-1.3170728987293208
101,3.9770004,3,19.40391760690385,19.576299,0.17238139309614908
101,3.9770004,4,19.40391760690387,22.334427,2.9305093930961306
102,4.0162991,1,-0.3710753622272613,0.16000767,0.5310830322272613
