grid,k_index,k1_index,k2_index,k3_index,k1_fraction,k2_fraction,k3_fraction,phase_rad,phase_per_area_A2
6,136,3,4,3,0.5,0.666666666667,0.5,1.4324475743903622e-06,1.345485725032538e-05
6,137,3,4,4,0.5,0.666666666667,0.666666666667,3.921346409158424e-06,3.683287061081962e-05
6,138,3,4,5,0.5,0.666666666667,0.833333333333,1.172740623889548e-06,1.1015452131158678e-05
6,139,3,5,0,0.5,0.833333333333,0.0,2.8704672280816527e-06,2.6962052563782595e-05
6,140,3,5,1,0.5,0.833333333333,0.166666666667,-1.9045708003495996e-06,-1.7889470232617707e-05
6,141,3,5,2,0.5,0.833333333333,0.333333333333,-1.347824527931216e-06,-1.2660000230388688e-05
6,142,3,5,3,0.5,0.833333333333,0.5,8.55885839201702e-07,8.039262305243444e-06
6,143,3,5,4,0.5,0.833333333333,0.666666666667,8.674746714844006e-07,8.148115213265598e-06
6,144,3,5,5,0.5,0.833333333333,0.833333333333,-6.676991018078268e-06,-6.271640415753584e-05
6,145,4,0,0,0.666666666667,0.0,0.0,9.232211035660388e-07,8.671736670192299e-06
6,146,4,0,1,0.666666666667,0.0,0.166666666667,1.3920109183667204e-06,1.3075039207274023e-05
6,147,4,0,2,0.666666666667,0.0,0.333333333333,2.929869971028704e-06,2.7520017435181466e-05
6,148,4,0,3,0.666666666667,0.0,0.5,3.0095560099585596e-08,2.8268501566687213e-07
6,149,4,0,4,0.666666666667,0.0,0.666666666667,-1.2528949904780874e-06,-1.1768335224208721e-05
6,150,4,0,5,0.666666666667,0.0,0.833333333333,-1.033514922255303e-06,-9.707717052712682e-06
6,151,4,1,0,0.666666666667,0.166666666667,0.0,-4.331617353692253e-08,-4.068651041680565e-07
6,152,4,1,1,0.666666666667,0.166666666667,0.166666666667,3.998352670616762e-06,3.755618382229553e-05
6,153,4,1,2,0.666666666667,0.166666666667,0.333333333333,-2.027131615013612e-06,-1.9040673456574918e-05
6,154,4,1,3,0.666666666667,0.166666666667,0.5,-2.256149161938837e-08,-2.1191815639219903e-07
6,155,4,1,4,0.666666666667,0.166666666667,0.666666666667,1.682985006968524e-06,1.580813387382543e-05
6,156,4,1,5,0.666666666667,0.166666666667,0.833333333333,6.541878024915925e-07,6.144729939714891e-06
6,157,4,2,0,0.666666666667,0.333333333333,0.0,3.345220739303658e-08,3.142137159003135e-07
6,158,4,2,1,0.666666666667,0.333333333333,0.166666666667,3.206409440736967e-07,3.011752896406859e-06
6,159,4,2,2,0.666666666667,0.333333333333,0.333333333333,-2.0404575645796848e-06,-1.9165842958301957e-05
6,160,4,2,3,0.666666666667,0.333333333333,0.5,-2.440282008744556e-06,-2.2921359681989758e-05
6,161,4,2,4,0.666666666667,0.333333333333,0.666666666667,-1.2999129550550495e-10,-1.2209970934229816e-09
6,162,4,2,5,0.666666666667,0.333333333333,0.833333333333,2.6004906145156596e-06,2.4426185379950295e-05
6,163,4,3,0,0.666666666667,0.5,0.0,1.051991241896035e-07,9.881263538965925e-07
6,164,4,3,1,0.666666666667,0.5,0.166666666667,3.218044156705402e-07,3.0226812853616865e-06
6,165,4,3,2,0.666666666667,0.5,0.333333333333,1.393303212804402e-07,1.3087177618127766e-06
6,166,4,3,3,0.666666666667,0.5,0.5,-3.200324822256669e-06,-3.0060376664369285e-05
6,167,4,3,4,0.666666666667,0.5,0.666666666667,-5.3141224392844526e-06,-4.991509644724928e-05
6,168,4,3,5,0.666666666667,0.5,0.833333333333,-1.249953426652232e-06,-1.1740705367397767e-05
6,169,4,4,0,0.666666666667,0.666666666667,0.0,3.915123820540388e-06,3.677442236944589e-05
6,170,4,4,1,0.666666666667,0.666666666667,0.166666666667,3.144347888233887e-06,2.9534590122472314e-05
6,171,4,4,2,0.666666666667,0.666666666667,0.333333333333,4.24672544942106e-06,3.988912803849187e-05
6,172,4,4,3,0.666666666667,0.666666666667,0.5,1.402363448699267e-07,1.317227963707709e-06
6,173,4,4,4,0.666666666667,0.666666666667,0.666666666667,-9.737188301774267e-07,-9.146057486653137e-06
6,174,4,4,5,0.666666666667,0.666666666667,0.833333333333,4.718510827606849e-06,4.432056764561476e-05
6,175,4,5,0,0.666666666667,0.833333333333,0.0,1.8113986184352587e-06,1.7014311916340525e-05
6,176,4,5,1,0.666666666667,0.833333333333,0.166666666667,-1.301735760906121e-06,-1.2227092393304269e-05
6,177,4,5,2,0.666666666667,0.833333333333,0.333333333333,3.127558998372129e-06,2.9376893519455255e-05
6,178,4,5,3,0.666666666667,0.833333333333,0.5,4.96295398944045e-07,4.6616601306524845e-06
6,179,4,5,4,0.666666666667,0.833333333333,0.666666666667,-4.735366765106985e-06,-4.4478894021350545e-05
6,180,4,5,5,0.666666666667,0.833333333333,0.833333333333,-5.72450139485512e-07,-5.376975079164362e-06
6,181,5,0,0,0.833333333333,0.0,0.0,-1.687558191521008e-07,-1.5851089404228872e-06
6,182,5,0,1,0.833333333333,0.0,0.166666666667,-2.380357461225806e-06,-2.2358493544987666e-05
6,183,5,0,2,0.833333333333,0.0,0.333333333333,-3.0967315370938422e-06,-2.9087333818768957e-05
6,184,5,0,3,0.833333333333,0.0,0.5,-6.285239508393741e-06,-5.9036715815260516e-05
6,185,5,0,4,0.833333333333,0.0,0.666666666667,-2.3644715445603035e-06,-2.2209278491783454e-05
