grid,k_index,axis,neighbor_index,G1,G2,G3,min_singular,max_singular,abs_determinant
4,54,1,6,1,0,0,0.8052180757316066,0.9983140491818949,0.7870084275878589
4,55,2,59,0,0,0,0.8116367570410414,0.9981082510273065,0.7975208515967348
4,55,1,7,1,0,0,0.8116375238826419,0.9981082503686812,0.7975215231272247
4,56,2,60,0,0,0,0.9793301139363866,0.9975449071339735,0.954506715352195
4,56,1,8,1,0,0,0.7590124512000341,0.9983223794137343,0.686863825735565
4,57,2,61,0,0,0,0.8052195277763156,0.998314039367851,0.7870097444264894
4,57,1,9,1,0,0,0.7915562343587451,0.9976792889547321,0.6942257853667898
4,58,2,62,0,0,0,0.8116412088808619,0.9981082565911416,0.7975251113660149
4,58,1,10,1,0,0,0.8116386196060146,0.9981082558280319,0.7975224625307364
4,59,2,63,0,0,0,0.7590122959886706,0.9983223866547666,0.686864262927917
4,59,1,11,1,0,0,0.817643648488555,0.9981644260300614,0.7986920660877824
4,60,2,64,0,0,0,0.8201429019655515,0.9980442492970025,0.6774190010003845
4,60,1,12,1,0,0,0.759013964770142,0.9983223754808367,0.6868661183591012
4,61,1,13,1,0,0,0.6669007018898913,0.9984305668141209,0.578330822671779
4,61,2,49,0,1,0,0.6668989318607181,0.9984305587342704,0.5783287110521623
4,62,1,14,1,0,0,0.7590165619961587,0.9983223863867488,0.6868686732798105
4,62,2,50,0,1,0,0.7590130287474173,0.9983223866368542,0.686864186166805
4,63,1,15,1,0,0,0.7590125982134337,0.9983223802117542,0.6868643436724812
4,63,2,51,0,1,0,0.7590155119423913,0.9983223819557792,0.6868676936863839
4,64,1,16,1,0,0,0.6668970480217817,0.9984305806938383,0.5783275998801127
4,64,2,52,0,1,0,0.6668991230293675,0.998430618706571,0.5783296277696108
