x_A,z_A,delta_n_e_A3
4.7222222222,0.0000000000,-6.861763587000e-07
4.7916666667,0.0000000000,-6.895213680000e-07
4.8611111111,0.0000000000,-6.931329033600e-07
4.9305555556,0.0000000000,-6.922014483800e-07
5.0000000000,0.0000000000,-6.906972572600e-07
5.0694444444,0.0000000000,-6.922049874000e-07
5.1388888889,0.0000000000,-6.931393810400e-07
5.2083333333,0.0000000000,-6.895297455300e-07
5.2777777778,0.0000000000,-6.861854256700e-07
5.3472222222,0.0000000000,-6.922337450600e-07
5.4166666667,0.0000000000,-7.077020187800e-07
5.4861111111,0.0000000000,-7.204052736000e-07
5.5555555556,0.0000000000,-7.182945081700e-07
5.6250000000,0.0000000000,-7.004981972600e-07
5.6944444444,0.0000000000,-6.729304731900e-07
5.7638888889,0.0000000000,-6.368360539000e-07
5.8333333333,0.0000000000,-5.876046332300e-07
5.9027777778,0.0000000000,-5.248761323900e-07
5.9722222222,0.0000000000,-4.586487395170e-07
6.0416666667,0.0000000000,-4.025299762347e-07
6.1111111111,0.0000000000,-3.627952616677e-07
6.1805555556,0.0000000000,-3.355886502415e-07
6.2500000000,0.0000000000,-3.127888457895e-07
6.3194444444,0.0000000000,-2.886657561065e-07
6.3888888889,0.0000000000,-2.628984390965e-07
6.4583333333,0.0000000000,-2.405368329696e-07
6.5277777778,0.0000000000,-2.287703285343e-07
6.5972222222,0.0000000000,-2.304645296932e-07
6.6666666667,0.0000000000,-2.395499625948e-07
6.7361111111,0.0000000000,-2.445796395110e-07
6.8055555556,0.0000000000,-2.379307674210e-07
6.8750000000,0.0000000000,-2.202329060510e-07
6.9444444444,0.0000000000,-1.956390767240e-07
7.0138888889,0.0000000000,-1.661415286201e-07
7.0833333333,0.0000000000,-1.335200455905e-07
7.1527777778,0.0000000000,-1.046376738712e-07
7.2222222222,0.0000000000,-8.936090200710e-08
7.2916666667,0.0000000000,-9.099977287440e-08
7.3611111111,0.0000000000,-1.013872952177e-07
7.4305555556,0.0000000000,-1.079371798178e-07
7.5000000000,0.0000000000,-1.045641313020e-07
7.5694444444,0.0000000000,-9.401151595300e-08
7.6388888889,0.0000000000,-8.113601270700e-08
7.7083333333,0.0000000000,-6.740304189080e-08
7.7777777778,0.0000000000,-5.253660607160e-08
7.8472222222,0.0000000000,-3.846601170610e-08
7.9166666667,0.0000000000,-2.897440773450e-08
7.9861111111,0.0000000000,-2.594179233210e-08
8.0555555556,0.0000000000,-2.760167736620e-08
8.1250000000,0.0000000000,-3.060068386300e-08
8.1944444444,0.0000000000,-3.278251900420e-08
8.2638888889,0.0000000000,-3.384272355760e-08
8.3333333333,0.0000000000,-3.412242004600e-08
8.4027777778,0.0000000000,-3.334676381800e-08
8.4722222222,0.0000000000,-3.068496037400e-08
8.5416666667,0.0000000000,-2.628303848500e-08
8.6111111111,0.0000000000,-2.245027188300e-08
8.6805555556,0.0000000000,-2.176085397600e-08
8.7500000000,0.0000000000,-2.262204125100e-08
8.8194444444,0.0000000000,-1.797386266160e-08
8.8888888889,0.0000000000,-1.516869389500e-09
8.9583333333,0.0000000000,2.351020083468e-08
9.0277777778,0.0000000000,4.394512396540e-08
9.0972222222,0.0000000000,4.765760435590e-08
9.1666666667,0.0000000000,3.475535970410e-08
9.2361111111,0.0000000000,1.645769387193e-08
9.3055555556,0.0000000000,3.471601763800e-09
9.3750000000,0.0000000000,-2.306397789200e-09
9.4444444444,0.0000000000,-4.716148059100e-09
9.5138888889,0.0000000000,-5.586560639000e-09
9.5833333333,0.0000000000,-2.918153337900e-09
9.6527777778,0.0000000000,4.492128442700e-09
9.7222222222,0.0000000000,1.389120747668e-08
9.7916666667,0.0000000000,2.100639058015e-08
9.8611111111,0.0000000000,2.404283364290e-08
9.9305555556,0.0000000000,2.434544611400e-08
0.0000000000,0.0694444444,1.497753625868e-08
0.0694444444,0.0694444444,1.578026504479e-08
0.1388888889,0.0694444444,1.713855917879e-08
0.2083333333,0.0694444444,1.642025783477e-08
0.2777777778,0.0694444444,1.144786856617e-08
0.3472222222,0.0694444444,3.263342719410e-09
0.4166666667,0.0694444444,-3.835521719880e-09
0.4861111111,0.0694444444,-6.346719009800e-09
0.5555555556,0.0694444444,-5.016043680200e-09
0.6250000000,0.0694444444,-2.530771148300e-09
0.6944444444,0.0694444444,1.650921898530e-09
0.7638888889,0.0694444444,1.111206093129e-08
0.8333333333,0.0694444444,2.564642473487e-08
0.9027777778,0.0694444444,3.709479153439e-08
0.9722222222,0.0694444444,3.538946645865e-08
1.0416666667,0.0694444444,1.900022413897e-08
1.1111111111,0.0694444444,-2.789877883900e-09
1.1805555556,0.0694444444,-1.870282307040e-08
1.2500000000,0.0694444444,-2.505196518400e-08
1.3194444444,0.0694444444,-2.610724834300e-08
1.3888888889,0.0694444444,-2.719812200800e-08
1.4583333333,0.0694444444,-2.968192341800e-08
1.5277777778,0.0694444444,-3.196900194700e-08
1.5972222222,0.0694444444,-3.291478111100e-08
1.6666666667,0.0694444444,-3.302192855180e-08
1.7361111111,0.0694444444,-3.324475209910e-08
1.8055555556,0.0694444444,-3.368831853850e-08
1.8750000000,0.0694444444,-3.359904143690e-08
1.9444444444,0.0694444444,-3.259929113500e-08
2.0138888889,0.0694444444,-3.210394486300e-08
2.0833333333,0.0694444444,-3.508787871250e-08
2.1527777778,0.0694444444,-4.354657129130e-08
2.2222222222,0.0694444444,-5.623398236020e-08
2.2916666667,0.0694444444,-6.993787252100e-08
2.3611111111,0.0694444444,-8.291567828000e-08
2.4305555556,0.0694444444,-9.527129644000e-08
2.5000000000,0.0694444444,-1.052472734940e-07
2.5694444444,0.0694444444,-1.078156239092e-07
2.6388888889,0.0694444444,-1.003378935305e-07
2.7083333333,0.0694444444,-8.930857158010e-08
2.7777777778,0.0694444444,-8.783098425700e-08
