case,z_A,potential_eV
k16-minus005,3.2610937525247996,4.2991602197404095
k16-minus005,3.333562502475071,4.299179771121427
k16-minus005,3.406031252954519,4.299161335407245
k16-minus005,3.4785000029047906,4.299177322096664
k16-minus005,3.550968752855062,4.29916318578151
k16-minus005,3.623437502805333,4.299174097547394
k16-minus005,3.695906252755604,4.299165580383499
k16-minus005,3.7683750032350525,4.2991703015590135
k16-minus005,3.840843753185324,4.299168260705045
k16-minus005,3.913312503135595,4.2991661654283035
k16-minus005,3.985781253085866,4.299170886603817
k16-minus005,4.058250003565314,4.2991619204520495
k16-minus005,4.130718753515586,4.299173131543183
k16-minus005,4.203187503465857,4.29915782513842
k16-minus005,4.275656253416129,4.2991746281694265
k16-minus005,4.3481250033664,4.299154056361425
k16-minus005,4.420593753845847,4.299175009128834
k16-minus005,4.493062503796119,4.29915068214953
k16-minus005,4.56553125374639,4.299173907067691
k16-minus005,4.6380000036966615,4.299147661685656
k16-minus005,4.710468753646932,4.299170954632283
k16-minus005,4.782937504126381,4.299144477953465
k16-minus005,4.8554062540766525,4.299164777647605
k16-minus005,4.927875004026924,4.299140083314587
k16-minus005,5.000343753977195,4.299155580199054
k16-minus005,5.072812503927466,4.29913447776902
k16-minus005,5.145281254406914,4.299142845270291
k16-minus005,5.217750004357185,4.299126464015771
k16-minus005,5.290218754307457,4.299125552434331
k16-minus005,5.362687504257728,4.29911421889196
k16-minus005,5.435156254207999,4.299102123430774
k16-minus005,5.507625004687448,4.299095130104509
k16-minus005,5.580093754637719,4.299070082023469
k16-minus005,5.652562504587991,4.299065388059342
k16-minus005,5.725031254538262,4.2990255097727985
k16-minus005,5.7975000044885325,4.299019319182427
k16-minus005,5.869968754967981,4.298962243299776
k16-minus005,5.942437504918252,4.298948610395268
k16-minus005,6.0149062548685235,4.298870745013525
k16-minus005,6.087375004818794,4.298840771671574
k16-minus005,6.159843754769065,4.298736130285765
k16-minus005,6.232312505248514,4.298676931914987
k16-minus005,6.304781255198786,4.298538616438699
k16-minus005,6.377250005149057,4.2984371723907735
k16-minus005,6.449718755099328,4.29824637975611
k16-minus005,6.522187505578776,4.298070036367543
k16-minus005,6.594656255529047,4.297797963322163
k16-minus005,6.667125005479319,4.297506311684378
k16-minus005,6.73959375542959,4.2971084404003825
k16-minus005,6.812062505379861,4.296641112052994
k16-minus005,6.88453125585931,4.296046869800153
k16-minus005,6.957000005809581,4.295312080737353
k16-minus005,7.0294687557598525,4.2944100096776054
k16-minus005,7.101937505710124,4.293266777707252
k16-minus005,7.1744062556603945,4.2918822759807504
k16-minus005,7.246875006139843,4.290112719533174
k16-minus005,7.319343756090114,4.287972312708144
k16-minus005,7.391812506040385,4.285236371089427
k16-minus005,7.464281255990657,4.281910894787691
k16-minus005,7.536750005940927,4.277675632998207
k16-minus005,7.609218756420376,4.272492081609436
k16-minus005,7.681687506370648,4.265920191688702
k16-minus005,7.754156256320919,4.257819566088668
k16-minus005,7.82662500627119,4.247588071254484
k16-minus005,7.89909375622146,4.234896653497969
k16-minus005,7.971562506700909,4.218908236155424
k16-minus005,8.04403125665118,4.1989742494413695
k16-minus005,8.116500006601452,4.173895732466422
k16-minus005,8.188968756551722,4.142498064926192
k16-minus005,8.261437506501993,4.103005146034713
k16-minus005,8.333906256981443,4.053401564469673
k16-minus005,8.406375006931714,3.990982630889462
k16-minus005,8.478843756881984,3.912403399245483
k16-minus005,8.551312506832257,3.8134599144481287
k16-minus005,8.623781256782527,3.6887233960957793
k16-minus005,8.696250007261975,3.5316133010468733
k16-minus005,8.768718757212248,3.333514422781774
k16-minus005,8.841187507162518,3.084206708854212
k16-minus005,8.91365625711279,2.7703444981481606
k16-minus005,8.98612500706306,2.376383776075551
k16-minus005,9.058593757542509,1.882328962949562
k16-minus005,9.13106250749278,1.2656356021394024
k16-minus005,9.203531257443052,0.4985736175601567
k16-minus005,9.276000007393323,-0.4407588777441528
k16-minus005,9.348468757872771,-1.5711596590548789
k16-minus005,9.42093750782304,-2.9005167630170092
k16-minus005,9.493406257773314,-4.399191302828936
k16-minus005,9.565875007723584,-6.008676444276876
k16-minus005,9.638343757673857,-7.650264422733917
k16-minus005,9.710812508153305,-9.228464211638359
k16-minus005,9.783281258103575,-10.642074597476016
k16-minus005,9.855750008053848,-11.802083829652831
k16-minus005,9.928218758004117,-12.641808052388104
k16-minus005,10.00068750795439,-13.11704002854601
k16-minus005,10.073156258433837,-13.211296406485264
k16-minus005,10.145625008384108,-12.940008885797209
k16-minus005,10.21809375833438,-12.349494347970548
k16-minus005,10.290562508284651,-11.50989370574591
k16-minus005,10.363031258234923,-10.51263142088455
k16-minus005,10.43550000871437,-9.469667762485676
k16-minus005,10.507968758664642,-8.502171672896472
k16-minus005,10.580437508614914,-7.724429858683251
k16-minus005,10.652906258565185,-7.237174000890527
k16-minus005,10.725375008515456,-7.1261838993451425
k16-minus005,10.797843758994905,-7.453207332391246
k16-minus005,10.870312508945174,-8.259990376124257
k16-minus005,10.942781258895447,-9.60020671438988
k16-minus005,11.015250008845717,-11.524118974922338
k16-minus005,11.08771875879599,-14.039304045770592
k16-minus005,11.160187509275438,-17.101668338153466
k16-minus005,11.232656259225708,-20.543749457238636
k16-minus005,11.305125009175981,-24.077361325759732
k16-minus005,11.37759375912625,-27.34665836002153
k16-minus005,11.450062509076524,-29.97938943564648
k16-minus005,11.52253125955597,-31.684206621131974
k16-minus005,11.595000009506242,-32.27532404082661
k16-minus005,11.667468759456513,-31.684206621131974
k16-minus005,11.739937509406785,-29.97938943564648
k16-minus005,11.812406259886233,-27.34665836002153
k16-minus005,11.884875009836504,-24.077361325759732
k16-minus005,11.957343759786776,-20.543749457238636
k16-minus005,12.029812509737047,-17.101668338153466
k16-minus005,12.102281259687318,-14.039304045770592
k16-minus005,12.174750010166765,-11.524118974922338
k16-minus005,12.247218760117038,-9.60020671438988
k16-minus005,12.319687510067308,-8.259990376124257
