cell,ik,band,energy_eV,native_weight,even_weight,odd_weight,norm,native_minus_even
primitive,26,7,10.049680096381953,1.0,1.0000000000000027,0.0,1.0000000000000027,-2.6645352591003757e-15
primitive,26,8,14.225621872263726,1.0,1.000000000000001,0.0,1.000000000000001,-1.1102230246251565e-15
primitive,27,1,-3.403036824996845,1.0,1.0000000000000004,0.0,1.0000000000000004,-4.440892098500626e-16
primitive,27,2,-0.8135020184527655,1.0,0.9999999999999998,0.0,0.9999999999999998,2.220446049250313e-16
primitive,27,3,4.774959295163383,1.0,0.9999999999999958,0.0,0.9999999999999958,4.218847493575595e-15
primitive,27,4,4.964379088826108,1.0,0.9999999999999993,0.0,0.9999999999999993,6.661338147750939e-16
primitive,27,5,8.00552291696665,1.0,0.9999999999999996,0.0,0.9999999999999996,4.440892098500626e-16
primitive,27,6,9.510575849852358,1.0,1.0000000000000147,0.0,1.0000000000000147,-1.4654943925052066e-14
primitive,27,7,9.67264640355852,1.0,1.0000000000000004,0.0,1.0000000000000004,-4.440892098500626e-16
primitive,27,8,13.951918354993666,1.0,0.9999999999999986,0.0,0.9999999999999986,1.4432899320127035e-15
primitive,28,1,-3.430445165979304,1.0,0.9999999999999997,0.0,0.9999999999999997,3.3306690738754696e-16
primitive,28,2,-0.8291418089461727,1.0,0.9999999999999997,0.0,0.9999999999999997,3.3306690738754696e-16
primitive,28,3,5.016558347355001,1.0,1.0000000000000007,0.0,1.0000000000000007,-6.661338147750939e-16
primitive,28,4,5.0165583473113,1.0,0.9999999999999988,0.0,0.9999999999999988,1.2212453270876722e-15
primitive,28,5,7.7891193955539535,1.0,1.0000000000000009,0.0,1.0000000000000009,-8.881784197001252e-16
primitive,28,6,9.56101354933773,1.0,1.0000000000000018,0.0,1.0000000000000018,-1.7763568394002505e-15
primitive,28,7,9.561013549342034,1.0,1.0000000000000002,0.0,1.0000000000000002,-2.220446049250313e-16
primitive,28,8,13.823152352979792,1.0,0.9999999999999946,0.0,0.9999999999999946,5.440092820663267e-15
primitive,29,1,-3.5303793918710538,1.0,0.9999999999999993,0.0,0.9999999999999993,6.661338147750939e-16
primitive,29,2,-0.6856251015482756,1.0,0.9999999999999991,0.0,0.9999999999999991,8.881784197001252e-16
primitive,29,3,5.029133953902426,1.0,1.0000000000000007,0.0,1.0000000000000007,-6.661338147750939e-16
primitive,29,4,5.029133953811127,1.0,1.0000000000000004,0.0,1.0000000000000004,-4.440892098500626e-16
primitive,29,5,7.803346903848646,1.0,1.0000000000000024,0.0,1.0000000000000024,-2.4424906541753444e-15
primitive,29,6,9.576016130408732,1.0,0.999999999999998,0.0,0.999999999999998,1.9984014443252818e-15
primitive,29,7,9.576016130425442,1.0,1.0000000000000009,0.0,1.0000000000000009,-8.881784197001252e-16
primitive,29,8,13.846725843952928,1.0,1.0000000000000004,0.0,1.0000000000000004,-4.440892098500626e-16
primitive,30,1,-3.7793155529623905,1.0,1.0000000000000009,0.0,1.0000000000000009,-8.881784197001252e-16
primitive,30,2,-0.3066411034191341,1.0,1.0000000000000009,0.0,1.0000000000000009,-8.881784197001252e-16
primitive,30,3,5.066789653186995,1.0,1.0000000000000007,0.0,1.0000000000000007,-6.661338147750939e-16
primitive,30,4,5.066789653177615,1.0,0.9999999999999987,0.0,0.9999999999999987,1.3322676295501878e-15
primitive,30,5,7.845676333525168,1.0,1.0000000000000016,0.0,1.0000000000000016,-1.5543122344752192e-15
primitive,30,6,9.618071637728384,1.0,0.9999999999999987,0.0,0.9999999999999987,1.3322676295501878e-15
primitive,30,7,9.618071637735474,1.0,0.9999999999999997,0.0,0.9999999999999997,3.3306690738754696e-16
primitive,30,8,13.912321363770706,1.0,0.9999999999999966,0.0,0.9999999999999966,3.4416913763379853e-15
primitive,31,1,-4.093119098745457,1.0,1.000000000000001,0.0,1.000000000000001,-1.1102230246251565e-15
primitive,31,2,0.22292960580006993,1.0,1.0000000000000004,0.0,1.0000000000000004,-4.440892098500626e-16
primitive,31,3,5.1294073156704085,1.0,1.0000000000000004,0.0,1.0000000000000004,-4.440892098500626e-16
primitive,31,4,5.129407315680134,1.0,0.9999999999999994,0.0,0.9999999999999994,5.551115123125783e-16
primitive,31,5,7.915979690472275,1.0,1.0000000000000004,0.0,1.0000000000000004,-4.440892098500626e-16
primitive,31,6,9.677889219421003,1.0,0.9999999999999988,0.0,0.9999999999999988,1.2212453270876722e-15
primitive,31,7,9.67788921943685,1.0,1.0,0.0,1.0,0.0
primitive,31,8,13.997130709444825,1.0,1.0000000000000024,0.0,1.0000000000000024,-2.4424906541753444e-15
primitive,32,1,-4.4182173803893185,1.0,1.000000000000002,0.0,1.000000000000002,-1.9984014443252818e-15
primitive,32,2,0.8477125900262914,1.0,0.9999999999999996,0.0,0.9999999999999996,4.440892098500626e-16
primitive,32,3,5.216561612115647,1.0,0.9999999999999997,0.0,0.9999999999999997,3.3306690738754696e-16
primitive,32,4,5.216561612116254,1.0,1.0000000000000009,0.0,1.0000000000000009,-8.881784197001252e-16
primitive,32,5,8.012986285476414,1.0,1.000000000000003,0.0,1.000000000000003,-3.1086244689504383e-15
primitive,32,6,9.738009169406874,1.0,0.999999999999998,0.0,0.999999999999998,1.9984014443252818e-15
primitive,32,7,9.738009169325045,1.0,0.9999999999999976,0.0,0.9999999999999976,2.4424906541753444e-15
primitive,32,8,14.015579675855413,1.0,0.9999999999999934,0.0,0.9999999999999934,6.5503158452884236e-15
primitive,33,1,-4.727552550138177,1.0,1.0000000000000016,0.0,1.0000000000000016,-1.5543122344752192e-15
primitive,33,2,1.538150451302795,1.0,0.9999999999999998,0.0,0.9999999999999998,2.220446049250313e-16
primitive,33,3,5.327329658238097,1.0,1.0000000000000018,0.0,1.0000000000000018,-1.7763568394002505e-15
