ik,primitive_bands,supercell_bands,expected_weight,measured_weight,primitive_mean_eV,supercell_weighted_mean_eV,delta_eV,weight_error
24,3,6,1,0.9999999999764585,2.992516789401744,2.9925166607201845,-1.286815596301949e-07,-2.3541502081059207e-11
24,4,8,1,0.9999999998367495,4.21788906330239,4.217888920329275,-1.4297311512478927e-07,-1.632505242099569e-10
24,5,10,1,0.9999999999340192,9.14701861503031,9.147018502274083,-1.1275622746609315e-07,-6.598077639807798e-11
24,6,11,1,0.9999999999351735,9.28772603675529,9.287725966611822,-7.014346792288961e-08,-6.48264775193752e-11
24,7,13,1,0.9999999999306469,11.648064099997045,11.648063984053483,-1.1594356230659741e-07,-6.935307883537689e-11
24,8,14,1,0.9999999946538994,13.699095097210451,13.699094994477639,-1.027328124791893e-07,-5.346100562242384e-09
25,1,1,1,0.9999999999999448,-3.185883636618712,-3.185883791622289,-1.5500357708475576e-07,-5.517808432387028e-14
25,2,4,1,0.999999999999991,-0.7043456330681063,-0.7043457536073459,-1.2053923958976753e-07,-8.992806499463768e-15
25,3,7,1,0.9999999999998712,3.5970540670751254,3.5970539280504665,-1.3902465889614746e-07,-1.2878587085651816e-13
25,4,8,1,0.9999999999999439,4.554457939920302,4.554457786988248,-1.529320536874934e-07,-5.6066262743570405e-14
25,5,11,1,0.9999999999997287,8.824477746924055,8.824477626976174,-1.1994788096103548e-07,-2.7133850721838826e-13
25,6,12,1,0.9999999999999755,9.3071931574613,9.307193087592593,-6.986870815239854e-08,-2.453592884421596e-14
25,7,13,1,0.9999999999998964,10.73321013026687,10.733210026594294,-1.0367257630150561e-07,-1.035838081975271e-13
25,8,14,1,0.9999999999978187,14.279647762604725,14.279647694134766,-6.846995859177696e-08,-2.181255176481045e-12
26,1,1,1,0.9999999999017692,-3.3212878791825085,-3.321288032669171,-1.5348666249082044e-07,-9.823075686199445e-11
26,2,4,1,0.9999999999889247,-0.7690889705482287,-0.7690890873111255,-1.1676289679574126e-07,-1.1075251826753174e-11
26,3,7,1,0.9999999994987252,4.228048135982518,4.228047987189431,-1.487930871846288e-07,-5.012747994470601e-10
26,4,8,1,0.9999999994786836,4.808519103008869,4.808518941505303,-1.6150356607624872e-07,-5.21316434465291e-10
26,5,11,1,0.9999999999272684,8.436229012101748,8.436228884309372,-1.2779237579252367e-07,-7.27315985216137e-11
26,6,12,1,0.9999999999601875,9.40003954655953,9.40003947363252,-7.292701020844561e-08,-3.981248664075565e-11
