segment,distance_A_minus1,q1,q2,q3,f1_cm_minus1,f2_cm_minus1,f3_cm_minus1
2.000000000000000000e+00,4.238493321456753837e-01,5.000000000000000000e-01,3.125000000000000000e-01,6.875000000000000000e-01,2.006801467683234250e+02,2.633577991840307959e+02,2.903773527339200768e+02
2.000000000000000000e+00,4.283178272321450653e-01,5.000000000000000000e-01,3.187499999999999778e-01,6.812500000000000222e-01,1.984322407314451766e+02,2.603840385390345205e+02,2.924106445242466066e+02
2.000000000000000000e+00,4.327863223186147468e-01,5.000000000000000000e-01,3.250000000000000111e-01,6.750000000000000444e-01,1.961261818466121554e+02,2.571657180629494519e+02,2.944854116645180966e+02
2.000000000000000000e+00,4.372548174050844838e-01,5.000000000000000000e-01,3.312499999999999889e-01,6.687499999999999556e-01,1.937806718558648527e+02,2.537137692053371723e+02,2.965840098794023447e+02
2.000000000000000000e+00,4.417233124915541653e-01,5.000000000000000000e-01,3.375000000000000222e-01,6.624999999999999778e-01,1.914122894184644394e+02,2.500402581317108854e+02,2.986910207691537380e+02
2.000000000000000000e+00,4.461918075780238468e-01,5.000000000000000000e-01,3.437500000000000000e-01,6.562500000000000000e-01,1.890357975982821586e+02,2.461584404095428908e+02,3.007929453281532801e+02
2.000000000000000000e+00,4.506603026644935284e-01,5.000000000000000000e-01,3.499999999999999778e-01,6.500000000000000222e-01,1.866644240574348714e+02,2.420828233319880951e+02,3.028779241330672107e+02
2.000000000000000000e+00,4.551287977509632099e-01,5.000000000000000000e-01,3.562500000000000111e-01,6.437500000000000444e-01,1.843101055778776072e+02,2.378292364037415894e+02,3.049354924107857414e+02
2.000000000000000000e+00,4.595972928374329469e-01,5.000000000000000000e-01,3.624999999999999889e-01,6.374999999999999556e-01,1.819836955201008948e+02,2.334149103635513427e+02,3.069563711992208823e+02
2.000000000000000000e+00,4.640657879239026284e-01,5.000000000000000000e-01,3.687500000000000222e-01,6.312499999999999778e-01,1.796951363788471383e+02,2.288585648562699078e+02,3.089322922567444607e+02
2.000000000000000000e+00,4.685342830103723100e-01,5.000000000000000000e-01,3.750000000000000000e-01,6.250000000000000000e-01,1.774536011191560192e+02,2.241805044484981408e+02,3.108558528503470484e+02
2.000000000000000000e+00,4.730027780968419915e-01,5.000000000000000000e-01,3.812499999999999778e-01,6.187500000000000222e-01,1.752676073810719970e+02,2.194027220466845165e+02,3.127203961506853602e+02
2.000000000000000000e+00,4.774712731833116730e-01,5.000000000000000000e-01,3.875000000000000111e-01,6.125000000000000444e-01,1.731451084798299576e+02,2.145490078502845392e+02,3.145199131335049856e+02
2.000000000000000000e+00,4.819397682697814100e-01,5.000000000000000000e-01,3.937500000000000444e-01,6.062499999999999556e-01,1.710935647187857285e+02,2.096450606648755297e+02,3.162489623142315054e+02
2.000000000000000000e+00,4.864082633562510916e-01,5.000000000000000000e-01,4.000000000000000222e-01,5.999999999999999778e-01,1.691199980494129989e+02,2.047185966080746766e+02,3.179026041523770800e+02
