# ik band kdist_A-1 k1 k2 k3 energy_eV E-Ef_eV occupation charge mx my mz
3 31 0.037483771 0.020408160 0.000000000 0.000000000 -13.017398420 -11.529298420 1.000000000 0.662000000 0.618000000 -0.194000000 -0.132000000
3 32 0.037483771 0.020408160 0.000000000 0.000000000 -13.016147900 -11.528047900 1.000000000 0.662000000 -0.618000000 0.194000000 0.132000000
3 33 0.037483771 0.020408160 0.000000000 0.000000000 -8.296280720 -6.808180720 1.000000000 0.654000000 0.215000000 -0.612000000 -0.084000000
3 34 0.037483771 0.020408160 0.000000000 0.000000000 -8.295594420 -6.807494420 1.000000000 0.654000000 -0.215000000 0.612000000 0.084000000
3 35 0.037483771 0.020408160 0.000000000 0.000000000 -4.478957130 -2.990857130 1.000000000 0.468000000 -0.218000000 0.402000000 -0.001000000
3 36 0.037483771 0.020408160 0.000000000 0.000000000 -4.463494000 -2.975394000 1.000000000 0.466000000 0.217000000 -0.401000000 0.001000000
3 37 0.037483771 0.020408160 0.000000000 0.000000000 -3.579338420 -2.091238420 1.000000000 0.468000000 0.199000000 -0.283000000 0.000000000
3 38 0.037483771 0.020408160 0.000000000 0.000000000 -3.553802320 -2.065702320 1.000000000 0.448000000 -0.196000000 0.277000000 -0.000000000
3 39 0.037483771 0.020408160 0.000000000 0.000000000 -3.298933110 -1.810833110 1.000000000 0.577000000 -0.075000000 0.130000000 -0.002000000
3 40 0.037483771 0.020408160 0.000000000 0.000000000 -3.280598840 -1.792498840 1.000000000 0.565000000 0.064000000 -0.115000000 0.002000000
3 41 0.037483771 0.020408160 0.000000000 0.000000000 -3.138285760 -1.650185760 1.000000000 0.596000000 -0.015000000 0.024000000 -0.008000000
3 42 0.037483771 0.020408160 0.000000000 0.000000000 -3.129217240 -1.641117240 1.000000000 0.598000000 0.017000000 -0.028000000 0.008000000
3 43 0.037483771 0.020408160 0.000000000 0.000000000 -3.048051070 -1.559951070 1.000000000 0.591000000 0.042000000 -0.073000000 -0.006000000
