distance_Ainv,E1_eV,E2_eV,E3_eV,E4_eV,E1_minus_VBM_eV,E2_minus_VBM_eV,E3_minus_VBM_eV,E4_minus_VBM_eV
1.280475400000000041e+00,-1.475232199999999994e+00,-1.475219099999999894e+00,3.381247300000000067e+00,3.381253699999999807e+00,-7.861271443384316271e+00,-7.861258343384315950e+00,-3.004791943384316433e+00,-3.004785543384316693e+00
1.295026299999999964e+00,-1.471643999999999952e+00,-1.471629999999999994e+00,3.354599499999999956e+00,3.354606200000000094e+00,-7.857683243384316896e+00,-7.857669243384316715e+00,-3.031439743384316543e+00,-3.031433043384316406e+00
1.309577100000000049e+00,-1.467664199999999974e+00,-1.467649699999999946e+00,3.325425899999999935e+00,3.325432999999999861e+00,-7.853703443384316252e+00,-7.853688943384316445e+00,-3.060613343384316565e+00,-3.060606243384316638e+00
1.324127999999999972e+00,-1.463304900000000019e+00,-1.463289999999999980e+00,3.293915600000000055e+00,3.293922799999999818e+00,-7.849344143384316297e+00,-7.849329243384316257e+00,-3.092123643384316445e+00,-3.092116443384316682e+00
1.338678899999999894e+00,-1.458579999999999988e+00,-1.458564900000000053e+00,3.260270600000000130e+00,3.260278000000000009e+00,-7.844619243384316931e+00,-7.844604143384316330e+00,-3.125768643384316370e+00,-3.125761243384316490e+00
1.353229699999999980e+00,-1.453505499999999895e+00,-1.453490600000000077e+00,3.224704599999999921e+00,3.224711899999999964e+00,-7.839544743384315950e+00,-7.839529843384316798e+00,-3.161334643384316578e+00,-3.161327343384316535e+00
1.367780599999999902e+00,-1.448099999999999943e+00,-1.448085400000000078e+00,3.187441000000000191e+00,3.187448299999999790e+00,-7.834139243384316664e+00,-7.834124643384316578e+00,-3.198598243384316309e+00,-3.198590943384316709e+00
1.382331399999999988e+00,-1.442384499999999958e+00,-1.442370399999999941e+00,3.148711699999999780e+00,3.148718899999999987e+00,-7.828423743384316680e+00,-7.828409643384316219e+00,-3.237327543384316719e+00,-3.237320343384316512e+00
1.396882299999999910e+00,-1.436382700000000012e+00,-1.436369199999999902e+00,3.108755599999999841e+00,3.108762500000000095e+00,-7.822421943384316734e+00,-7.822408443384316179e+00,-3.277283643384316658e+00,-3.277276743384316404e+00
1.411433099999999996e+00,-1.430120800000000081e+00,-1.430108300000000110e+00,3.067816600000000005e+00,3.067823100000000025e+00,-7.816160043384316580e+00,-7.816147543384316165e+00,-3.318222643384316495e+00,-3.318216143384316474e+00
1.425983999999999918e+00,-1.423628300000000069e+00,-1.423616800000000016e+00,3.026142899999999969e+00,3.026149000000000200e+00,-7.809667543384316346e+00,-7.809656043384316959e+00,-3.359896343384316530e+00,-3.359890243384316300e+00
1.440534900000000063e+00,-1.416937200000000008e+00,-1.416926799999999931e+00,2.983985399999999899e+00,2.983991000000000060e+00,-7.802976443384316951e+00,-7.802966043384316208e+00,-3.402053843384316600e+00,-3.402048243384316439e+00
1.455085699999999926e+00,-1.410082700000000022e+00,-1.410073499999999980e+00,2.941596399999999889e+00,2.941601400000000144e+00,-7.796121943384316744e+00,-7.796112743384316701e+00,-3.444442843384316610e+00,-3.444437843384316356e+00
1.469636600000000071e+00,-1.403102700000000036e+00,-1.403094800000000086e+00,2.899228499999999986e+00,2.899232899999999891e+00,-7.789141943384316313e+00,-7.789134043384316364e+00,-3.486810743384316513e+00,-3.486806343384316609e+00
1.484187399999999935e+00,-1.396038200000000007e+00,-1.396031699999999987e+00,2.857133800000000168e+00,2.857137499999999886e+00,-7.782077443384316950e+00,-7.782070943384316486e+00,-3.528905443384316332e+00,-3.528901743384316614e+00
1.498738300000000079e+00,-1.388932800000000078e+00,-1.388927599999999929e+00,2.815562400000000132e+00,2.815565299999999826e+00,-7.774972043384316578e+00,-7.774966843384316206e+00,-3.570476843384316368e+00,-3.570473943384316673e+00
1.513289099999999943e+00,-1.381832799999999972e+00,-1.381828999999999974e+00,2.774761600000000161e+00,2.774763800000000113e+00,-7.767872043384316250e+00,-7.767868243384316251e+00,-3.611277643384316338e+00,-3.611275443384316386e+00
