q_index,qx,qy,qz,star_weight,sigma_Ry,mode,frequency_THz,frequency_cm1,lambda_mode,gamma_GHz,DOS_EF_states_spin_Ry_cell,EF_eV
6,0.3535534,0.0,0.3535534,12,0.03,3,8.56337,285.643293,0.2103,38.94,2.643829,8.37839
6,0.3535534,0.0,0.3535534,12,0.035,1,4.969669,165.770321,0.0307,1.91,2.645823,8.376691
6,0.3535534,0.0,0.3535534,12,0.035,2,6.818494,227.44047,0.1215,14.27,2.645823,8.376691
6,0.3535534,0.0,0.3535534,12,0.035,3,8.56337,285.643293,0.2032,37.64,2.645823,8.376691
6,0.3535534,0.0,0.3535534,12,0.04,1,4.969669,165.770321,0.0318,1.99,2.648339,8.374776
6,0.3535534,0.0,0.3535534,12,0.04,2,6.818494,227.44047,0.1227,14.43,2.648339,8.374776
6,0.3535534,0.0,0.3535534,12,0.04,3,8.56337,285.643293,0.1986,36.83,2.648339,8.374776
6,0.3535534,0.0,0.3535534,12,0.045,1,4.969669,165.770321,0.0327,2.04,2.650827,8.372817
6,0.3535534,0.0,0.3535534,12,0.045,2,6.818494,227.44047,0.1237,14.56,2.650827,8.372817
6,0.3535534,0.0,0.3535534,12,0.045,3,8.56337,285.643293,0.1956,36.31,2.650827,8.372817
6,0.3535534,0.0,0.3535534,12,0.05,1,4.969669,165.770321,0.0334,2.09,2.653067,8.370889
6,0.3535534,0.0,0.3535534,12,0.05,2,6.818494,227.44047,0.1246,14.68,2.653067,8.370889
6,0.3535534,0.0,0.3535534,12,0.05,3,8.56337,285.643293,0.1936,35.97,2.653067,8.370889
7,0.0,-0.7071068,0.0,3,0.005,1,6.357109,212.050339,0.2664,25.89,2.518161,8.37364
7,0.0,-0.7071068,0.0,3,0.005,2,6.357109,212.050339,0.2974,28.9,2.518161,8.37364
7,0.0,-0.7071068,0.0,3,0.005,3,9.841475,328.276276,0.085,19.79,2.518161,8.37364
7,0.0,-0.7071068,0.0,3,0.01,1,6.357109,212.050339,0.1528,15.48,2.624685,8.377216
7,0.0,-0.7071068,0.0,3,0.01,2,6.357109,212.050339,0.1643,16.64,2.624685,8.377216
7,0.0,-0.7071068,0.0,3,0.01,3,9.841475,328.276276,0.1388,33.7,2.624685,8.377216
